"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"141","The Marguerite","cocktail_recipe_book::the_marguerite","Cocktail Recipe Book","","Classic","Tart and Refreshing","","Shaken","","","","","","","",""
"73","The Modern","cocktail_recipe_book::the_modern","Cocktail Recipe Book","","Classic","Sweet and Spirit-forward","","Stirred","Served Up | Short Drink | Spirit-Forward","","","","","","",""
"71","The Orkney Chapel (from Death and Company)","cocktail_recipe_book::the_orkney_chapel_from_death_and_company","Cocktail Recipe Book","","Modern","Complex and Spirit-forward","","","","","","","","","",""
"17","Third Degree","cocktail_recipe_book::third_degree","Cocktail Recipe Book","","Modern","Complex and Herbal","","Shaken","","","","","","","",""
"18","Tom Collins","cocktail_recipe_book::tom_collins","Cocktail Recipe Book","","Classic","Sweet and Sour","","Built","Long Drink | Simple 3-Ingredient | Spirit + Citrus + Sweet | Topped With Soda","Collins","Citrusy | Fizzy | Refreshing","","","Sessionable","",""
"42","Trinidad Sour","cocktail_recipe_book::trinidad_sour","Cocktail Recipe Book","","Modern","Bitter and Herbal","","","Equal Parts | Simple 4-Ingredient","Sour","Bitter | Sour","Adventurous | Bold","","High-Octane | Spirit-Forward","",""
"110","Tropical Escape","cocktail_recipe_book::tropical_escape","Cocktail Recipe Book","","","Sweet and Refreshing","","","","","","","","","",""
"192","Twinkle","cocktail_recipe_book::twinkle","Cocktail Recipe Book","","Modern","Refined and Citrusy","","","","","","","","","",""
"193","Twisted Sobriety","cocktail_recipe_book::twisted_sobriety","Cocktail Recipe Book","","Modern","Subtle and Bubbly","","","","","","","","","",""
"194","Vavavoom","cocktail_recipe_book::vavavoom","Cocktail Recipe Book","","Modern","Subtle and Sweet","","","","","","","","","",""
"19","Vesper","cocktail_recipe_book::vesper","Cocktail Recipe Book","","Classic","Dry and Herbal","Elegant | Minimal","Stirred","Equal Parts | Served Up | Short Drink | Spirit-Forward","","","Contemplative | Romantic","Date Night | Dinner Party","High-Octane | Spirit-Forward","Silky",""
"44","Vieux Carré","cocktail_recipe_book::vieux_carré","Cocktail Recipe Book","","Classic","Smooth and Complex","","Stirred","Served Up | Short Drink | Spirit-Forward | Split Base","","Bitter","Sophisticated | Contemplative","Dinner Party | Nightcap","High-Octane | Spirit-Forward","",""
"132","Vodka Martini","cocktail_recipe_book::vodka_martini","Cocktail Recipe Book","","Classic","Dry and Spirit-forward","Classic | Minimal","Stirred","Served Up | Short Drink | Spirit-Forward","","","","Dinner Party | Nightcap","High-Octane | Spirit-Forward","",""
